gene,log2fold,raw_p_value,bh
1110038D17Rik,0.032236842105259456,0.5127796577088224,0.6077981981573802
1110038F14Rik,-0.0076842105263139615,0.32878098380920795,0.4270295945011133
1110049B09Rik,-0.011789473684212126,0.6968377956521727,0.7701427996771028
1110049F12Rik,-0.010499999999998622,0.9213811507697716,0.9451017437193693
1110051M20Rik,-0.0807894736842103,0.028752124791157258,0.05671853203055953
1110054O05Rik,-0.004078947368419961,0.9751368789101029,0.9836057537304059
1110057K04Rik,0.17176315789473584,2.3590410807717626e-07,2.585675071084279e-06
1110057P08Rik,-0.10726315789473695,0.009685500298398137,0.022753384012540488
1110058L19Rik,-0.1113684210526289,0.0042083157156936855,0.011118481044699884
1110059E24Rik,-0.12981578947368355,0.003226624268752312,0.008824402881563565
1110059G10Rik,-0.048710526315788094,0.31359281334359723,0.4108790326647132
1110059M19Rik,-0.13794736842105237,0.0004202337464903959,0.0015343214134612274
1110065P20Rik,0.12828947368420884,4.843139174478845e-06,3.376016047874866e-05
1110067D22Rik,-0.046499999999999986,0.45759789100410386,0.5560605120438298
1190002A17Rik,0.1828684210526319,1.511832742343304e-05,8.833520987173144e-05
1190002H23Rik,-0.025026315789472342,0.6216730181659529,0.7065236283128133
1190002N15Rik,0.056499999999997996,0.33655459247882613,0.4350383141139189
1190003J15Rik,-0.06389473684210856,0.0033360006120903085,0.009092816963706469
1190003M12Rik,0.4009736842105269,1.7374714923391798e-12,2.729330218361582e-10
1190005F20Rik,-0.051368421052631064,0.12162422181634834,0.19036687663808252
1190005I06Rik,0.1682368421052658,9.177161201518017e-05,0.0004174652392398873
